number;classNumber;className;numberInClass;1 meanBacteriaarcLength;2 meanBacteriaWholeCurvature;3 minrolcorPointAndMidP10B10;4 minrolcorPointsP10B10;5 minrolcoranglespointpointmiddleP10B10;6 minrolcoranglespointmiddlepointP10B10;7 medianOfTheObjectsSize;8 howMuchWhiteInMaskPercent;9 howManyObjects;10 howManyBacterias;11 meanShiftr25;12 meanShiftr50;13 meanShiftr75;14 meanShiftr100;15 meanShiftr125;16 meanShiftr150;17 meanShiftr175;18 meanShiftr200;19 NewKmeansAndVariance2DForK3;20 NewKmeansAndVariance2DForK6;21 NewKmeansAndVariance2DForK10;22 NewKmeansAndVariance3DForK3;23 NewKmeansAndVariance3DForK6;24 NewKmeansAndVariance3DForK10;25 NewKmeansAndVariance2DForK3weighted;26 NewKmeansAndVariance2DForK6weighted;27 NewKmeansAndVariance2DForK10weighted;28 varianceOnMask;29 varianceWholeImage;30 varianceWholeImageRed;31 varianceWholeImageGreen;32 varianceWholeImageBlue;33 meanOnMask;34 meanWholeImage;35 meanWholeImageRed;36 meanWholeImageGreen;37 meanWholeImageBlue;38 warRedOnMask;39 warGreenOnMask;40 warBlueOnMask;41 meanOnMaskRed;42 meanOnMaskGreen;43 meanOnMaskBlue;44 kurthosisGrayWholeImage;45 kurthosisGrayOnMask;46 kurthosisRedWholeImage;47 kurthosisGreenWholeImage;48 kurthosisBlueWholeImage;49 kurthosisRedOnMask;50 kurthosisGreenOnMask;51 kurthosisBlueOnMask;52 skewnessGrayWholeImage;53 skewnessGrayOnMask;54 skewnessRedWholeImage;55 skewnessGreenWholeImage;56 skewnessBlueWholeImage;57 skewnessRedOnMask;58 skewnessGreenOnMask;59 skewnessBlueOnMask
74;4;Br;1;56.43192342;9.857291348;0.518572793;1.064595237;0.7521921538;0.8935512337;185;0.07346028646;1102;1951.740541;935;430;232;135;84;52;44;34;1245.196277;3113.28555;2951.318134;1389.243194;4839.113449;2977.457719;135.1414668;653.5174508;1356.861176;156.80763;139.56635;130.51237;156.4174;124.74516;104.30277;138.02616;138.31485;137.81181;138.38665;170.40569;188.57383;148.88558;107.3878;101.98294;108.24201;13.298972;2.7430767;13.321188;12.946057;12.866134;2.9087116;2.6352503;2.9001126;-1.928207;-0.33606227;-1.7386633;-2.043423;-1.6474805;-0.37205297;-0.18942243;-0.067279378
75;4;Br;2;69.49399715;9.832363463;0.3908645917;1.249122448;0.5237744425;0.5696261047;280;0.04426188151;609;776.9857143;550;258;156;97;63;44;33;26;2359.126732;16379.27169;11899.11937;2306.150943;11970.68388;7851.919577;630.6567078;4519.866427;1073.059355;165.17093;92.935976;114.51515;89.365425;86.291501;105.0198;138.99013;139.05818;138.86879;139.46986;222.50702;173.38423;160.15554;102.0453;105.94536;108.12556;22.104321;2.6926731;19.349074;23.186924;21.32689;2.6187559;2.8719063;2.5768092;-2.0077961;-0.71980916;-2.1378958;-1.971451;-1.7558818;-0.53862661;-0.76909032;-0.27113452
76;4;Br;3;70.53814289;9.824771076;0.3194685588;1.095025884;0.3717866059;0.4578911668;281;0.0382607015;440;669.2491103;414;241;152;100;76;59;44;37;4225.418867;3501.256614;7544.818296;2414.65503;2707.525362;19149.2022;2663.469468;1733.324134;8684.976398;131.079;74.232764;70.509909;82.557768;69.794504;107.00632;139.15646;139.32309;138.97071;139.71635;123.86642;164.64988;130.53294;110.47689;104.63623;110.21459;26.06166;2.4494843;24.272154;25.269624;25.339323;2.7475002;2.3390987;2.5877153;-1.7145936;-0.45570994;-1.1756647;-2.0097091;-1.3654405;-0.34438624;-0.3616659;-0.1521885
77;4;Br;4;66.1830438;9.849915715;0.264888591;1.217624163;0.4313641371;0.578124847;262;0.03184366862;432;597.3969466;411;287;186;119;85;65;49;40;5526.379899;1632.377428;7949.085909;5301.995704;3145.948533;9217.416433;7745.365478;333.6990802;3503.449096;156.80604;78.736089;79.15403;84.877126;74.005575;102.422;139.21908;139.34016;139.04851;139.82508;148.93852;193.33748;156.24253;104.50734;100.67269;106.0679;27.614595;2.3302727;24.430922;27.557785;26.287668;2.5937614;2.2496768;2.4500281;-2.1900922;-0.42204465;-1.7856817;-2.4075081;-1.7833994;-0.30164717;-0.35585657;-0.11880255
78;4;Br;5;69.71506337;9.911710369;0.5017968424;1.289421421;0.5214287407;0.4920121024;277;0.07520324707;1031;1334.436823;865;361;199;124;93;66;44;35;3509.68215;3672.092426;1721.015865;3425.158313;3719.792465;5290.042935;3430.352893;2324.596039;2463.460248;183.03666;141.31647;193.42997;129.6939;121.05446;106.00238;138.22313;138.26343;138.15189;138.55566;258.61605;190.00608;174.73199;101.09638;107.75272;109.93629;13.447838;2.6814682;11.551074;14.713514;13.996545;2.5389869;2.9810974;2.7407402;-1.7558554;-0.75323011;-1.7982925;-1.7591996;-1.6459035;-0.5251419;-0.84901196;-0.4988672
79;4;Br;6;70.58512747;9.852832472;0.5844181318;1.494491835;0.6224365658;0.7429247697;305;0.06901509603;857;1112.206557;741;320;186;110;76;56;42;32;2733.524673;855.8940579;3352.490454;1625.990633;2640.507889;14291.86015;293.2406072;6646.207676;2259.015648;184.24023;102.84993;153.61815;89.934039;88.213277;109.49677;138.44944;138.49983;138.35692;138.84895;263.46884;187.26781;176.45462;103.29328;111.94712;113.24431;13.887747;3.4629654;12.653211;15.295371;13.451872;2.8606676;3.9684494;3.5016035;-2.5919157;-1.0546794;-2.4444441;-2.6889645;-2.5322201;-0.72100479;-1.1923014;-0.90661296
80;4;Br;7;74.02534541;9.892092267;0.3982902128;1.203300437;0.661049809;0.5680013624;306.5;0.07587259928;938;1216.734095;852;460;252;150;105;69;47;39;130.5830781;1091.735219;2187.221274;136.252525;10448.44034;29897.61541;16.21671556;1039.702129;2276.451;182.32547;134.28259;177.6583;125.15339;118.46345;105.9705;138.34979;138.41029;138.25601;138.72781;257.19841;189.73271;174.31247;101.68389;107.45248;109.65506;14.898222;2.8174368;13.094552;16.06763;14.835595;2.6389679;3.0617933;2.7049082;-2.0591662;-0.80268782;-2.1327783;-2.0589786;-1.8519483;-0.55401799;-0.88646425;-0.45654975
81;4;Br;8;73.39925088;9.803770752;0.3740213762;1.37240147;0.5500884707;0.5368008809;293;0.06953491211;835;1166.477816;770;444;252;154;96;67;50;38;1109.697084;195.005727;3538.071911;1102.368269;3071.125553;8364.503269;593.6086325;1746.595497;2263.050324;171.56088;148.43304;156.42376;155.19329;134.79844;102.00442;138.38407;138.55986;138.21736;138.82273;192.82001;198.31472;166.3194;102.46329;101.11975;105.44752;13.870817;2.3334192;12.857067;14.099821;13.343218;2.547474;2.2952587;2.4684406;-2.1023346;-0.46510266;-1.9771971;-2.175611;-1.9002908;-0.32047859;-0.43038229;-0.024490522
82;4;Br;9;76.2534375;9.878908029;0.2748198869;1.206664425;0.3981099966;0.3937680805;291;0.06916015625;868;1168.164948;774;408;214;140;94;63;41;37;872.4260954;2413.96564;4214.951259;868.4231414;4071.348987;6235.715582;167.3313752;4598.408479;2545.275824;170.83821;145.05934;155.59389;150.54381;131.39023;102.80841;138.28534;138.46696;138.12732;138.69052;200.06424;195.09393;156.70591;103.1512;102.025;106.03301;13.831304;2.4409599;12.789275;14.117532;13.207359;2.6596512;2.3889226;2.4984462;-1.9897931;-0.57395269;-1.8585203;-2.0729473;-1.7997026;-0.45881549;-0.53617593;-0.086961657
83;4;Br;10;68.37325185;9.844999008;0.4131104747;1.404869338;0.4587270035;0.5337601002;263;0.0631431071;814;1180.079848;744;429;238;156;98;62;42;36;638.7736485;1417.571842;4947.809478;634.4424613;2410.976229;4704.237253;240.7884455;2137.85388;872.035523;192.52089;144.40242;161.73164;145.95565;129.77826;100.27563;138.32287;138.4127;138.18091;138.83364;230.94411;214.28257;176.34448;99.031344;100.16453;104.19836;15.716321;2.2912066;14.704013;16.117796;14.810192;2.5369643;2.3165322;2.365816;-2.3789491;-0.4878331;-2.3581798;-2.4191978;-2.0829564;-0.38117702;-0.48501562;-0.091822402
