number,classNumber,className,numberInClass,1 varianceOnMask,2 varianceWholeImage,3 varianceWholeImageRed,4 varianceWholeImageGreen,5 varianceWholeImageBlue,6 meanOnMask,7 meanWholeImage,8 meanWholeImageRed,9 meanWholeImageGreen,10 meanWholeImageBlue,11 warRedOnMask,12 warGreenOnMask,13 warBlueOnMask,14 meanOnMaskRed,15 meanOnMaskGreen,16 meanOnMaskBlue,17 kurthosisGrayWholeImage,18 kurthosisGrayOnMask,19 kurthosisRedWholeImage,20 kurthosisGreenWholeImage,21 kurthosisBlueWholeImage,22 kurthosisRedOnMask,23 kurthosisGreenOnMask,24 kurthosisBlueOnMask,25 skewnessGrayWholeImage,26 skewnessGrayOnMask,27 skewnessRedWholeImage,28 skewnessGreenWholeImage,29 skewnessBlueWholeImage,30 skewnessRedOnMask,31 skewnessGreenOnMask,32 skewnessBlueOnMask
11,1,Pi,11,-0.68054,-0.89334,-0.84583,-0.91378,-0.90513,0.011085,0.4178,0.42834,0.41579,0.39799,-0.55694,-0.59539,-0.77268,-0.018485,0.029522,0.14149,-0.813,-0.94178,-0.59492,-0.74782,-0.68777,-0.44636,-0.24553,-0.33974,-0.21531,-0.43424,-0.10594,0.064265,-0.13649,0.13676,-0.27567,-0.43906
12,1,Pi,12,-0.67929,-0.95064,-0.92328,-0.95902,-0.94183,-0.00076008,0.43847,0.44827,0.43633,0.42036,-0.47208,-0.45762,-0.65805,-0.0015134,0.0050529,0.12012,-0.64505,-0.93075,-0.20462,-0.47652,-0.43673,-0.2389,-0.14097,-0.38346,-0.39939,-0.58486,-0.072873,-0.20814,-0.33011,0.40202,-0.43202,-0.5058
13,1,Pi,13,-0.64862,-0.94965,-0.92126,-0.95819,-0.94241,0.009349,0.42298,0.43183,0.41931,0.41713,-0.47847,-0.45075,-0.66169,0.0013839,0.018043,0.13288,-0.64472,-0.93799,-0.20717,-0.48906,-0.42629,-0.3152,-0.2453,-0.43577,-0.40915,-0.5416,-0.087803,-0.20261,-0.35588,0.31276,-0.35345,-0.4515
14,1,Pi,14,-0.69379,-0.88093,-0.82529,-0.90521,-0.89947,-0.036792,0.4018,0.41183,0.39828,0.39261,-0.54385,-0.603,-0.77296,-0.075562,-0.015543,0.10974,-0.82841,-0.9367,-0.63601,-0.77626,-0.70973,-0.39181,-0.21198,-0.32025,-0.16788,-0.42526,-0.081984,0.1136,-0.11409,0.19593,-0.29115,-0.44713
15,1,Pi,15,-0.66281,-0.95128,-0.91676,-0.96389,-0.95102,-0.088779,0.43229,0.43949,0.42924,0.42754,-0.32928,-0.41014,-0.63889,-0.1378,-0.063958,0.073043,-0.59563,-0.94253,-0.11396,-0.42431,-0.32704,-0.23578,-0.10996,-0.31139,-0.45914,-0.55594,-0.25191,-0.24812,-0.40762,0.48178,-0.48718,-0.59919
16,1,Pi,16,-0.67689,-0.95981,-0.9338,-0.9706,-0.95738,-0.12461,0.45196,0.46409,0.44632,0.44656,-0.30775,-0.38958,-0.62895,-0.16707,-0.10257,0.040164,-0.51921,-0.93722,0.093015,-0.32815,-0.22617,-0.10906,-0.048241,-0.25135,-0.55221,-0.56081,-0.31796,-0.33589,-0.47325,0.64671,-0.55037,-0.6707
17,1,Pi,17,-0.25675,-0.78524,-0.72907,-0.81789,-0.82558,0.11912,0.38849,0.40843,0.38115,0.37193,-0.27237,-0.32684,-0.66452,0.11863,0.12452,0.22381,-0.91634,-0.98082,-0.80794,-0.90677,-0.86853,-0.90724,-0.82667,-0.81906,-0.079159,-0.26667,-0.080316,0.27058,0.028372,-0.24587,0.13117,-0.031537
18,1,Pi,18,-0.26474,-0.80655,-0.75489,-0.83583,-0.84428,0.12244,0.39401,0.41104,0.38659,0.3859,-0.263,-0.33563,-0.65229,0.12202,0.12533,0.23874,-0.90411,-0.98069,-0.77743,-0.89168,-0.84296,-0.89886,-0.8011,-0.80495,-0.10014,-0.26448,-0.092864,0.24653,0.0012257,-0.22849,0.11344,-0.0424
19,1,Pi,19,-0.58971,-0.85708,-0.79952,-0.88312,-0.8762,0.073969,0.43985,0.46104,0.43376,0.41268,-0.50149,-0.56278,-0.76234,0.053937,0.089512,0.18539,-0.86294,-0.94506,-0.71591,-0.82288,-0.77625,-0.69973,-0.49372,-0.54533,-0.17423,-0.30858,-0.12142,0.14073,-0.078205,-0.038218,-0.080377,-0.24543
20,1,Pi,20,-0.64906,-0.86487,-0.80601,-0.88897,-0.8823,0.097757,0.43525,0.45638,0.42929,0.40689,-0.55117,-0.61661,-0.77475,0.082996,0.10957,0.21057,-0.87567,-0.93821,-0.73066,-0.81867,-0.76802,-0.66535,-0.38856,-0.50765,-0.10322,-0.34174,-0.020091,0.1727,-0.048441,-0.028121,-0.13793,-0.26932
21,1,Pi,21,-0.72465,-0.88932,-0.83671,-0.91065,-0.8993,0.061692,0.44143,0.46233,0.43527,0.41479,-0.60825,-0.64484,-0.78989,0.042026,0.076834,0.17615,-0.84036,-0.92557,-0.66035,-0.76195,-0.71105,-0.43275,-0.13077,-0.30504,-0.1679,-0.44915,-0.051656,0.095167,-0.11027,0.1374,-0.31109,-0.43762
22,1,Pi,22,-0.72892,-0.9153,-0.86607,-0.9344,-0.92064,0.070476,0.45333,0.47823,0.44645,0.41925,-0.60019,-0.63987,-0.79117,0.039183,0.0927,0.17844,-0.80438,-0.92343,-0.57333,-0.67054,-0.61537,-0.39888,-0.054738,-0.23084,-0.25199,-0.38511,-0.12543,-0.0087532,-0.20247,0.22699,-0.33326,-0.47664
23,2,E7,1,-0.71789,-1,-1,-1,-0.98274,0.40334,0.99264,0.99611,0.99064,0.99173,-0.55047,-0.26693,-0.53359,0.4352,0.39423,0.45588,-0.061022,-0.67548,0.78028,1,1,0.18077,0.64943,0.1208,-0.70436,-1,0.1718,-1,-1,1,-1,-1
24,2,E7,2,0.37493,-0.7177,-0.69251,-0.74583,-0.75312,-1,0.51198,0.51348,0.51238,0.50467,1,0.50788,0.044805,-1,-1,-0.71129,-0.29743,-0.99241,0.09213,-0.73433,-0.68073,-0.63463,-0.94656,-0.95527,-0.81921,-0.30321,-1,-0.14014,-0.36026,0.21004,0.14143,0.089817
25,2,E7,3,0.61926,0.48606,0.15694,0.45712,0.73343,-0.84764,0.57837,0.5901,0.57705,0.55333,-0.0078361,0.64347,0.50103,-0.61994,-0.91387,-0.82467,-0.90933,-0.99426,-0.87525,-0.96946,-0.95751,-0.99626,-1,-1,-0.14522,-0.3431,-0.21263,0.31056,0.052539,-0.43676,0.21759,0.14902
