number,classNumber,className,numberInClass,1 meanBacteriaarcLength,2 meanBacteriaWholeCurvature,3 minrolcorPointAndMidP10B10,4 minrolcorPointsP10B10,5 minrolcoranglespointpointmiddleP10B10,6 minrolcoranglespointmiddlepointP10B10,7 medianOfTheObjectsSize,8 howMuchWhiteInMaskPercent,9 howManyObjects,10 howManyBacterias,11 meanShiftr25,12 meanShiftr50,13 meanShiftr75,14 meanShiftr100,15 meanShiftr125,16 meanShiftr150,17 meanShiftr175,18 meanShiftr200,19 NewKmeansAndVariance2DForK3,20 NewKmeansAndVariance2DForK6,21 NewKmeansAndVariance2DForK10,22 NewKmeansAndVariance3DForK3,23 NewKmeansAndVariance3DForK6,24 NewKmeansAndVariance3DForK10,25 NewKmeansAndVariance2DForK3weighted,26 NewKmeansAndVariance2DForK6weighted,27 NewKmeansAndVariance2DForK10weighted
11,1,Pi,11,0.10021,0.2439,-0.1148,-0.79738,0.20489,0.12096,-0.20159,-0.64478,-0.87178,-0.90955,-0.87738,-0.77712,-0.71429,-0.56129,-0.26923,-0.22222,-0.13208,-0.27273,-0.43181,-0.46663,-0.22318,-0.65301,-0.64122,-0.7164,-0.74595,0.14528,-0.060559
12,1,Pi,12,0.36471,0.068232,-0.49727,0.24903,-0.45626,-0.4656,-0.023873,-0.83151,-0.92908,-0.97521,-0.9228,-0.89896,-1,-0.88387,-0.71154,-0.75,-0.73585,-0.45455,-0.79126,-0.45899,-0.57115,-0.69084,-0.70898,-0.19915,-0.65844,-0.025287,-0.40898
13,1,Pi,13,0.50606,0.25896,-0.40145,0.016124,-0.25021,-0.24572,0.043767,-0.81244,-0.94341,-0.97326,-0.93824,-0.91976,-0.97143,-0.84516,-0.76923,-0.66667,-0.66038,-0.40909,0.18001,0.23383,-0.56536,-0.20811,-0.21193,0.37306,-0.83269,0.19036,-0.5175
14,1,Pi,14,0.50041,0.051739,-0.45877,-0.19984,-0.13783,-0.71948,0.11141,-0.67256,-0.8639,-0.94265,-0.8347,-0.62556,-0.52857,-0.47097,-0.36538,-0.083333,-0.32075,-0.13636,-0.28969,-0.094396,-0.58321,-0.90259,-0.85989,-0.60745,-0.97957,0.11229,-0.22962
15,1,Pi,15,0.49909,-0.43876,-0.72532,-0.50771,-0.59261,-0.69914,0.24005,-0.88436,-0.9606,-0.99644,-0.94914,-0.88707,-0.89286,-0.71613,-0.65385,-0.5,-0.69811,-0.18182,-0.79585,-0.22348,-0.58192,-0.74875,-0.95574,-0.84027,-0.8637,-0.71681,-0.76931
16,1,Pi,16,0.19004,-0.15159,-0.90024,0.21131,-0.90658,-0.62214,-0.11538,-0.91786,-0.97493,-0.9953,-0.96185,-0.91976,-0.82857,-0.63871,-0.57692,-0.44444,-0.43396,-0.22727,-0.45655,-0.21184,0.96153,-0.99402,-0.43586,-0.80636,-0.87163,0.56091,0.86712
17,1,Pi,17,0.53034,0.67166,-0.057004,0.12641,0.027894,-0.20922,0.096817,-0.1819,-0.90186,-0.82345,-0.87738,-0.66716,-0.55,-0.45806,-0.15385,-0.027778,-0.13208,0.090909,-0.49248,-0.04574,-0.19682,-0.98108,-0.80996,-0.80895,-0.95312,-0.41375,-0.84065
18,1,Pi,18,0.50503,-0.30399,-0.41332,0.21,-0.080726,-0.2833,0.18435,-0.24853,-0.92908,-0.85055,-0.90372,-0.71768,-0.6,-0.38065,-0.23077,-0.16667,0.018868,-0.090909,-0.58732,-0.49149,-0.6191,-0.98358,-0.80752,-0.79072,-0.93046,-0.63973,-0.82374
19,1,Pi,19,0.49597,-0.59892,-0.16049,-0.37095,-0.11645,-0.36171,0.22944,-0.45833,-0.89183,-0.9021,-0.86467,-0.63447,-0.52143,-0.31613,-0.096154,-0.027778,-0.018868,0.13636,-0.21525,0.053279,-0.66894,0.2777,-0.96078,-0.91502,-0.97107,-0.1885,-0.87527
20,1,Pi,20,0.043785,-0.28518,-0.60908,0.039048,-0.1654,-0.25861,-0.24801,-0.43521,-0.83883,-0.83806,-0.82198,-0.6107,-0.58571,-0.40645,-0.36538,-0.11111,-0.13208,-0.22727,-0.947,-0.63124,-0.65604,-0.98022,-0.75545,-0.28358,-0.97403,-0.81969,-0.94772
