number,classNumber,className,numberInClass,1 varianceOnMask,2 varianceWholeImage,3 varianceWholeImageRed,4 varianceWholeImageGreen,5 varianceWholeImageBlue,6 meanOnMask,7 meanWholeImage,8 meanWholeImageRed,9 meanWholeImageGreen,10 meanWholeImageBlue,11 warRedOnMask,12 warGreenOnMask,13 warBlueOnMask,14 meanOnMaskRed,15 meanOnMaskGreen,16 meanOnMaskBlue,17 kurthosisGrayWholeImage,18 kurthosisGrayOnMask,19 kurthosisRedWholeImage,20 kurthosisGreenWholeImage,21 kurthosisBlueWholeImage,22 kurthosisRedOnMask,23 kurthosisGreenOnMask,24 kurthosisBlueOnMask,25 skewnessGrayWholeImage,26 skewnessGrayOnMask,27 skewnessRedWholeImage,28 skewnessGreenWholeImage,29 skewnessBlueWholeImage,30 skewnessRedOnMask,31 skewnessGreenOnMask,32 skewnessBlueOnMask
54,3,x5,7,243.15781,147.44259,187.19087,147.28011,127.65552,114.08345,150.37143,151.56043,150.32311,147.33695,424.81083,300.89738,265.39363,111.9676,114.83072,115.83122,12.342648,4.9838337,13.085508,17.538026,17.25677,12.055828,10.918811,13.040891,-2.1808647,0.28763103,-2.0698851,-2.4986218,-2.3851699,1.5074405,-0.94319653,-1.1058739
55,3,x5,8,278.35569,146.22972,156.12868,159.14744,128.38566,111.16958,150.46813,151.78233,150.3527,147.44289,404.17617,359.92336,304.93306,112.66274,110.02497,113.18518,13.798678,5.9848242,14.62482,17.992127,18.395282,14.190596,9.2273586,11.594934,-2.4311217,0.71686179,-2.2482702,-2.678704,-2.5328748,1.8926333,-0.25125959,-0.58480868
56,3,x5,9,235.54259,58.843287,64.473238,66.254207,58.819361,101.78105,146.66945,147.67817,146.7797,143.2139,640.7222,404.9247,355.46669,104.73106,99.991968,103.2931,34.436008,2.0353401,40.001115,55.563853,50.515334,19.753288,10.275801,14.662081,-4.1164881,-0.24048527,-3.2185258,-4.9820247,-4.2672086,3.0661571,-1.8800862,-2.4327671
57,3,x5,10,231.81443,60.734117,67.105637,67.51615,63.586737,102.54294,146.2625,147.26411,146.45262,142.42944,638.54632,408.00319,367.67607,105.1811,100.90877,104.08478,29.665502,2.4464432,35.216481,51.035128,41.242035,19.84509,10.737838,14.478365,-3.5503159,-0.18154956,-2.7568542,-4.4992171,-3.4824252,3.1026251,-1.9011829,-2.3326621
58,3,x5,11,214.96749,61.683426,78.706759,64.151248,63.162509,105.21142,146.225,147.20924,146.42262,142.40755,626.77294,363.53051,341.98581,103.31846,105.82329,107.07239,27.508734,2.5901977,33.359929,51.151673,40.807881,18.290498,13.484693,15.67021,-3.4844214,-0.30711614,-3.0775764,-4.4546249,-3.5320176,2.7670359,-2.2850735,-2.4076583
59,3,x5,12,222.27616,133.37952,155.54641,138.3601,119.81195,104.68167,145.6236,146.65093,145.81251,141.78861,422.9586,290.03992,251.02233,103.886,104.74097,106.50762,14.381709,3.6239801,16.043208,19.31741,17.450902,17.329421,10.12288,13.354016,-2.4546316,0.029492654,-2.3346996,-2.7385573,-2.3439476,2.0774457,-1.1620598,-1.3557947
60,3,x5,13,230.43524,118.93027,139.16937,125.01776,109.13171,102.9989,145.6688,146.72496,145.84376,141.81089,463.47755,312.78733,276.84608,102.45313,102.94916,104.71249,18.081815,3.1553656,20.236751,23.976131,21.554318,16.633024,8.9674096,11.373318,-3.1540275,-0.01724505,-2.9807663,-3.448321,-3.0133835,2.0580136,-1.1142925,-1.2399092
61,3,x5,14,239.85349,165.12171,195.0282,173.01397,145.4201,104.92515,145.09304,146.06536,145.22009,141.70675,437.57901,305.74525,283.06662,104.22967,104.80413,107.40468,12.469285,4.148048,13.654106,15.579288,14.704105,13.170882,8.2146179,9.3956823,-2.4629798,0.1635098,-2.3669554,-2.6461407,-2.3706683,1.5757793,-0.68755372,-0.6976039
62,3,x5,15,202.97449,147.857,183.28541,151.32379,127.52761,103.54071,145.06988,146.07725,145.18193,141.66737,430.2201,269.92949,253.55934,101.56364,103.89725,106.92922,13.499965,2.6802909,14.86232,17.70827,16.567729,15.507514,9.3711158,11.50239,-2.5103115,-0.20770142,-2.4350901,-2.7608588,-2.4187413,1.8320067,-1.2706712,-1.2264915
63,3,x5,16,252.08786,155.43608,169.13725,167.66315,135.2838,104.64174,144.82711,145.95309,144.88294,141.41098,401.35587,329.75234,273.64724,105.72794,103.61457,107.10837,12.645058,4.752699,13.711555,16.082176,15.257487,15.919574,8.1145856,10.990647,-2.3512847,0.35673198,-2.1693593,-2.5850406,-2.2529932,1.8993094,-0.46140621,-0.75608397
