number,classNumber,className,numberInClass,1 meanBacteriaarcLength,2 meanBacteriaWholeCurvature,3 minrolcorPointAndMidP10B10,4 minrolcorPointsP10B10,5 minrolcoranglespointpointmiddleP10B10,6 minrolcoranglespointmiddlepointP10B10,7 medianOfTheObjectsSize,8 howMuchWhiteInMaskPercent,9 howManyObjects,10 howManyBacterias,11 meanShiftr25,12 meanShiftr50,13 meanShiftr75,14 meanShiftr100,15 meanShiftr125,16 meanShiftr150,17 meanShiftr175,18 meanShiftr200,19 NewKmeansAndVariance2DForK3,20 NewKmeansAndVariance2DForK6,21 NewKmeansAndVariance2DForK10,22 NewKmeansAndVariance3DForK3,23 NewKmeansAndVariance3DForK6,24 NewKmeansAndVariance3DForK10,25 NewKmeansAndVariance2DForK3weighted,26 NewKmeansAndVariance2DForK6weighted,27 NewKmeansAndVariance2DForK10weighted
109,5,Ps,2,76.30618057,10.09268274,0.7107629514,1.200426655,0.9818540113,0.6846039269,273,0.1971661377,1523,3549.857143,1237,531,262,150,93,63,38,25,1176.665875,1260.275804,1719.23786,31751.60536,68975.89145,29784.43002,860.8763462,935.714251,124.4454472
110,5,Ps,3,75.28036293,10.01008,0.6377688167,1.394411181,0.8778557589,0.6073263313,289,0.2046669515,1151,3480.896194,1015,490,251,159,94,64,50,37,1204.259195,1209.99112,4716.160302,637.0197537,9115.193416,12257.51658,130.1875807,907.9421993,634.4189137
111,5,Ps,4,77.05580429,10.04811501,0.4192052885,1.422989735,0.6178138777,0.5896089531,310,0.2329528809,1106,3693.580645,952,463,248,154,104,73,49,32,489.6389864,2339.093351,2606.179286,19285.71001,8180.620544,21714.77058,137.0756085,404.1919471,904.8398088
112,5,Ps,5,67.22827397,9.923655026,0.5663861081,1.513444536,0.7461482681,0.7683056201,227,0.1701049805,1672,3683.259912,1318,554,282,158,93,65,53,37,1866.394992,1103.157599,2047.14849,130125.9929,80255.73356,148244.476,144.0107857,734.6511338,772.0208532
113,5,Ps,6,65.69942053,10.03176184,0.3241952252,1.437616938,0.4783262808,0.5919383012,215,0.07924031576,937,1811.544186,830,435,246,134,90,61,40,32,855.368997,1101.040192,3783.973375,6567.663823,38112.25434,10061.25406,29.18950683,389.7072587,2477.010108
114,5,Ps,7,58.74985742,10.02417248,0.6217443861,1.307369884,0.9724033449,0.7974222096,179,0.05080078125,749,1394.949721,678,396,241,152,99,73,52,36,770.3001021,2335.947707,3781.665187,2240.022097,3055.35473,51464.64256,133.0875955,1351.237896,674.8521548
115,5,Ps,8,70.32967074,10.04321454,0.5899858839,1.272506977,0.8128245375,0.6941899376,239,0.1376344808,1422,2830.548117,1224,567,288,159,100,72,48,28,1599.309845,1203.734422,2084.14923,298.4548457,2341.409789,57771.14479,1215.977817,1577.581958,528.6236994
116,5,Ps,9,65.64807968,10.03329738,0.5851461425,1.447441371,0.8365132307,0.6833170822,203,0.1640893555,1767,3973.064039,1364,571,278,161,105,61,41,28,996.945974,1394.702899,2130.573352,64792.86167,39218.42786,163843.5306,304.351977,615.0515463,944.300938
117,5,Ps,10,65.99804872,9.985695886,0.8064711393,1.495352051,0.974008276,0.7954556851,217,0.1728908285,1765,3916.096774,1364,580,287,162,95,62,44,32,235.3656354,1093.044626,1303.533538,185.5637227,1422.492382,13207.68634,5.371037898,635.0095998,1392.677919
118,5,Ps,11,61.17612149,9.950472439,0.6435315674,1.435295522,0.8600282615,0.7157990827,206,0.1642545573,1762,3919.145631,1424,579,291,157,100,71,52,33,1045.164024,1505.939162,1112.118535,8595.780887,11657.61544,50312.76864,300.5330288,337.4707316,2502.243142
119,5,Ps,12,65.48595244,10.04523527,0.5737916397,1.094345107,0.8051636266,0.6331693702,220,0.1016092936,1124,2270.136364,913,424,215,136,92,62,41,32,231.3935241,1024.686986,2312.508842,451.1973013,539.0619351,14741.74651,76.12045786,412.0295189,1549.493022
120,5,Ps,13,69.56782723,10.04753688,0.7056968131,1.240798513,1.006584895,0.7260345019,241,0.2140342204,1702,4365.232365,1302,541,268,153,95,66,41,30,2023.439957,4323.393118,2827.277829,1518.883705,35769.38418,34639.46589,513.8155587,392.9655936,1422.369012
121,5,Ps,14,71.32872415,10.08506032,0.7738759054,1.560885925,1.032869003,0.5184104775,238,0.2173173014,1865,4488.058824,1437,595,275,158,98,63,43,36,1373.234261,1781.771865,2361.836187,4762.716877,2929.906578,22543.58912,54.46879384,3162.694594,435.2325708
122,5,Ps,15,72.61871512,10.01358125,0.5550468453,1.321346259,0.8810155162,0.8425077934,248,0.2547951253,1802,5049.875,1441,585,286,157,95,71,51,39,882.9618264,487.4932851,1363.983868,52044.17825,19281.53501,9240.4956,2.421164581,183.8424041,202.5664155
123,5,Ps,16,70.42572235,10.17340954,0.717573492,1.19713267,0.990558353,0.664096574,237,0.1330332438,1251,2759.008439,1093,531,278,148,99,64,48,37,425.7308216,2991.184319,4978.101373,442.3317754,8988.474594,20609.54595,305.1240711,234.2344478,1341.897609
124,5,Ps,17,72.2465841,10.11156237,1.017192161,1.400593977,1.092751784,0.8815523819,248,0.4187143962,1410,8298.649194,1143,518,250,135,89,65,38,31,1918.432704,1451.753878,2465.974439,5986.892037,6627.929399,44933.83634,283.6621935,184.4395271,400.5180344
125,5,Ps,18,70.94470712,10.01644149,0.4862494635,1.448750814,0.6832384661,0.6160995316,266,0.06972045898,671,1288.308271,585,319,197,128,92,62,43,36,8802.379582,4970.640218,5267.085434,3031.632212,5350.257347,43904.88666,1266.393191,345.9823514,1223.778552
126,5,Ps,19,65.93520479,9.999152692,0.3584562595,1.427951813,0.665775804,0.6452129527,240,0.1065478516,1095,2182.1,938,458,242,151,93,63,44,28,3155.564269,2260.738289,6358.277667,5993.575621,7613.158902,2451.349761,305.1945588,73.70244307,129.9918538
127,5,Ps,20,55.5271679,9.939843569,0.4334446601,1.445775768,0.6116095766,0.6313195523,178.5,0.03802246094,578,1046.991597,499,273,175,120,81,55,43,32,2913.690536,3444.409452,4117.929074,1969.398867,18448.41659,22491.13069,777.6298984,4641.889729,2351.894764
128,5,Ps,21,50.86287352,9.986448961,0.6788105263,1.501884161,0.9393566399,0.6811889003,140,0.06408732096,741,2250.014286,674,406,232,141,95,63,44,37,160.8668373,1211.681106,3980.329744,959.0189584,1293.076012,70165.88495,758.9569558,158.9309119,5746.13257
