number;classNumber;className;numberInClass;1 meanBacteriaarcLength;2 meanBacteriaWholeCurvature;3 minrolcorPointAndMidP10B10;4 minrolcorPointsP10B10;5 minrolcoranglespointpointmiddleP10B10;6 minrolcoranglespointmiddlepointP10B10;7 medianOfTheObjectsSize;8 howMuchWhiteInMaskPercent;9 howManyObjects;10 howManyBacterias;11 meanShiftr25;12 meanShiftr50;13 meanShiftr75;14 meanShiftr100;15 meanShiftr125;16 meanShiftr150;17 meanShiftr175;18 meanShiftr200;19 NewKmeansAndVariance2DForK3;20 NewKmeansAndVariance2DForK6;21 NewKmeansAndVariance2DForK10;22 NewKmeansAndVariance3DForK3;23 NewKmeansAndVariance3DForK6;24 NewKmeansAndVariance3DForK10;25 NewKmeansAndVariance2DForK3weighted;26 NewKmeansAndVariance2DForK6weighted;27 NewKmeansAndVariance2DForK10weighted;28 varianceOnMask;29 varianceWholeImage;30 varianceWholeImageRed;31 varianceWholeImageGreen;32 varianceWholeImageBlue;33 meanOnMask;34 meanWholeImage;35 meanWholeImageRed;36 meanWholeImageGreen;37 meanWholeImageBlue;38 warRedOnMask;39 warGreenOnMask;40 warBlueOnMask;41 meanOnMaskRed;42 meanOnMaskGreen;43 meanOnMaskBlue;44 kurthosisGrayWholeImage;45 kurthosisGrayOnMask;46 kurthosisRedWholeImage;47 kurthosisGreenWholeImage;48 kurthosisBlueWholeImage;49 kurthosisRedOnMask;50 kurthosisGreenOnMask;51 kurthosisBlueOnMask;52 skewnessGrayWholeImage;53 skewnessGrayOnMask;54 skewnessRedWholeImage;55 skewnessGreenWholeImage;56 skewnessBlueWholeImage;57 skewnessRedOnMask;58 skewnessGreenOnMask;59 skewnessBlueOnMask
71;3;x5;24;-0.78264;0.7146;0.46984;-0.93729;0.98087;0.39615;-1;1;-0.12607;1;-0.37602;-0.55126;-0.76429;-1;-1;-1;-0.96226;-1;-0.87533;-0.7083;-0.86553;-0.98778;-0.9978;-0.98673;-0.99861;-0.87631;-0.90732;-0.9819;-0.99101;-0.99359;-0.99519;-1;0.85819;1;1;1;1;-0.99157;-0.98274;-1;0.85554;0.85609;0.89814;0.27218;0.59792;0.59354;-0.64147;-0.28506;0.61877;0.62647;1;1;0.60639;0.99696;1;0.93296;0.44469;0.75538;0.88217
72;3;x5;25;-0.484;1;0.48295;0.41897;0.83978;-0.012651;-0.88064;0.47066;0.66547;0.094142;0.24432;0.060921;-0.17143;-0.39355;-0.46154;-0.58333;-0.84906;-0.36364;-0.89172;-0.92107;-1;-0.99618;-0.94648;-0.96792;-0.98394;-0.98611;-0.95723;-0.99413;-0.98855;-0.99257;-0.99228;-0.99792;1;0.98724;0.99075;0.98543;0.98708;-1;-0.99534;-0.99631;1;1;1;0.18312;1;0.55239;-0.67356;-0.33319;1;1;0.92496;0.99168;1;1;0.9962;0.91998;0.78071;1;1
73;3;x5;26;-0.51639;-0.83035;-0.5524;-0.21139;-0.35258;-0.16826;-0.55172;-0.41097;0.52579;-0.75343;0.61944;0.67608;0.66429;0.38065;0.38462;0.47222;0.43396;0.36364;-0.8535;-0.85431;-0.944;-0.9972;-0.98813;-0.97776;-0.99401;-0.95466;-0.96296;0.1465;-0.11741;-0.10382;-0.18857;-0.21632;-0.38649;0.56518;0.56623;0.56649;0.55505;-0.13352;0.17314;-0.28082;-0.36456;-0.39187;-0.21355;-0.91884;-0.97922;-0.89605;-0.96615;-0.95873;-0.83825;-0.94408;-0.96238;-0.11392;-0.46152;-0.16456;0.31799;0.084814;-0.31155;0.084924;0.016728
74;4;Br;1;-0.84979;-0.75878;-0.058158;-0.56698;0.25275;1;-0.86207;-0.80577;-0.37607;-0.85757;-0.34423;-0.20059;-0.23571;-0.34194;-0.44231;-0.61111;-0.4717;-0.36364;-0.8167;-0.64091;-0.80606;-0.983;-0.96297;-0.98399;-0.97165;-0.86219;-0.84514;-0.39482;-0.76019;-0.79287;-0.76429;-0.80805;-0.49467;0.29136;0.29506;0.28795;0.29843;-0.5368;-0.3713;-0.70384;-0.39784;-0.54874;-0.25725;-0.63538;-0.98275;-0.45055;-0.88144;-0.85146;-0.98831;-0.98895;-0.98819;-0.26331;-0.4089;-0.32856;0.21392;0.057154;-0.5106;0.18836;0.086902
75;4;Br;2;-0.49748;-0.84084;-0.32918;-0.0098005;-0.2224;-0.0082968;-0.61008;-0.90388;-0.72923;-0.96338;-0.69391;-0.71174;-0.77857;-0.83226;-0.84615;-0.83333;-0.88679;-0.72727;-0.65118;0.99144;-0.11114;-0.97165;-0.90415;-0.94509;-0.86579;0.033578;-0.8806;-0.35676;-0.85833;-0.8256;-0.89017;-0.88246;-0.47578;0.32596;0.32169;0.32586;0.33766;-0.36883;-0.43057;-0.6772;-0.53616;-0.44474;-0.26007;-0.33745;-0.98379;-0.14408;-0.76346;-0.73016;-0.99527;-0.98255;-0.99453;-0.2901;-0.50645;-0.48436;0.22985;0.033397;-0.55287;0.08351;0.052054
76;4;Br;3;-0.46931;-0.86583;-0.48069;-0.4751;-0.53857;-0.3561;-0.60743;-0.92405;-0.85029;-0.97308;-0.81744;-0.76226;-0.80714;-0.79355;-0.59615;-0.41667;-0.4717;-0.22727;-0.37386;-0.59317;-0.44931;-0.97031;-0.98055;-0.85493;-0.43152;-0.61202;0.07043;-0.5119;-0.89769;-0.91562;-0.90295;-0.91439;-0.42343;0.33193;0.33118;0.32952;0.34659;-0.68683;-0.46465;-0.74722;-0.31785;-0.4791;-0.20951;-0.20356;-0.98885;0.10622;-0.73947;-0.67263;-0.99218;-0.99694;-0.99431;-0.19139;-0.43932;-0.10885;0.22138;0.11896;-0.50359;0.15721;0.072387
77;4;Br;4;-0.58678;-0.78306;-0.59652;-0.10491;-0.41464;0.018158;-0.65782;-0.94561;-0.85602;-0.97955;-0.82016;-0.62556;-0.56429;-0.54839;-0.42308;-0.25;-0.28302;-0.090909;-0.18054;-0.82313;-0.41792;-0.93456;-0.97693;-0.93419;0.65414;-0.93629;-0.57695;-0.39482;-0.88821;-0.89793;-0.8986;-0.90624;-0.54423;0.33418;0.33179;0.33231;0.35053;-0.606;-0.35271;-0.68645;-0.47242;-0.58312;-0.30988;-0.15102;-0.99133;0.11429;-0.71311;-0.65904;-0.99588;-0.99936;-0.99701;-0.35147;-0.43076;-0.34691;0.1333;0.027367;-0.49274;0.15826;0.078094
78;4;Br;5;-0.49151;-0.57963;-0.093759;0.11188;-0.22728;-0.24989;-0.61804;-0.79992;-0.42693;-0.91317;-0.40781;-0.40565;-0.47143;-0.48387;-0.26923;-0.22222;-0.4717;-0.31818;-0.48021;-0.57215;-0.90161;-0.9578;-0.9722;-0.96553;-0.26768;-0.47503;-0.70688;-0.27545;-0.75651;-0.66416;-0.81446;-0.81519;-0.44989;0.29843;0.29322;0.30015;0.30455;-0.25242;-0.36571;-0.64274;-0.56073;-0.39731;-0.21625;-0.63034;-0.98403;-0.54055;-0.86108;-0.83525;-0.99719;-0.97961;-0.99131;-0.20528;-0.51495;-0.35183;0.27685;0.057499;-0.54944;0.069054;0.013124
79;4;Br;6;-0.46805;-0.77346;0.081578;0.7311;-0.017167;0.53114;-0.54377;-0.82071;-0.55158;-0.93319;-0.52044;-0.52749;-0.56429;-0.66452;-0.59615;-0.5;-0.54717;-0.45455;-0.59554;-0.91868;-0.7749;-0.98007;-0.9811;-0.89369;-0.93787;0.52622;-0.73243;-0.26998;-0.83746;-0.7456;-0.88911;-0.87874;-0.3578;0.30656;0.30169;0.30751;0.31517;-0.23677;-0.3764;-0.63867;-0.50385;-0.28723;-0.13618;-0.61546;-0.96778;-0.48452;-0.85438;-0.84306;-0.98946;-0.95294;-0.97641;-0.48675;-0.59158;-0.60399;0.07098;-0.13674;-0.59914;0.0069593;-0.056578
80;4;Br;7;-0.37525;-0.64421;-0.31342;-0.14816;0.063157;-0.013354;-0.53979;-0.79767;-0.49355;-0.92377;-0.41962;-0.11144;-0.092857;-0.14839;-0.038462;-0.13889;-0.35849;-0.13636;-0.98233;-0.88966;-0.8654;-0.99852;-0.9167;-0.76915;-0.99705;-0.77272;-0.73025;-0.27869;-0.77131;-0.69643;-0.82299;-0.8202;-0.45073;0.30298;0.29848;0.30389;0.31078;-0.25699;-0.36678;-0.64373;-0.54552;-0.40519;-0.22305;-0.58127;-0.9812;-0.46208;-0.84548;-0.82322;-0.99479;-0.97743;-0.99202;-0.30739;-0.52752;-0.48236;0.21047;0.012344;-0.55677;0.062279;0.020358
