number,classNumber,className,numberInClass,1 V,2 V,3 V,4 V,5 V,6 V,7 V,8 V,9 V,10 V,11 V,12 V,13 V,14 V,15 V,16 V,17 V,18 V,19 V,20 V,21 V,22 V,23 V,24 V,25 V,26 V,27 V,28 V,29 V,30 V,31 V,32 V,33 V,34 V,35 V,36 V,37 V,38 V,39 V,40 V,41 V,42 V,43 V,44 V,45 V,46 V,47 V,48 V,49 V,50 V,51 V,52 V,53 V,54 V,55 V,56 V,57 V,58 V,59 V,60 V
91,4,Br,18,-0.61275,-0.72573,-0.75379,-0.91106,-0.9249,-0.85759,-0.79205,-0.75877,-0.92713,-0.49014,-0.92967,-0.84188,-0.9834,-0.93555,-0.89148,-0.78734,-0.90735,-0.64979,-0.93954,-0.85852,-0.61275,-0.96542,-0.97596,-0.79727,-0.95628,-0.98601,-0.88681,-0.83663,-0.96202,-0.96164,-0.91391,-0.93094,-0.9794,-0.96537,-0.86031,-0.95269,-0.93857,-0.86037,-0.93042,-0.98334,-0.89351,-0.97639,-0.99189,-0.9929,-0.91516,-0.74608,-0.9542,-0.9804,-0.97827,-0.94171,-0.83514,-1,-0.92235,-0.97296,-0.99225,-0.89403,-0.95461,-0.95731,-0.98709,-0.9346
92,4,Br,19,-0.56655,-0.72005,-0.53783,-0.94137,-0.89361,-0.7218,-0.85697,-0.72428,-0.61045,-0.57608,-0.66563,-0.8527,-0.85282,-0.69864,-0.73982,-0.73062,-0.86398,-0.53731,-0.80065,-0.75954,-0.56655,-0.94265,-0.95481,-0.92538,-0.90755,-0.908,-0.83185,-0.91951,-0.91513,-0.90315,-0.78775,-0.74627,-0.90449,-0.91572,-0.92043,-0.90456,-0.97198,-0.7494,-0.881,-0.77674,-0.76355,-0.94693,-0.91442,-0.92763,-0.44713,-0.92258,-0.94285,-0.95202,-0.67608,-0.88919,-0.95993,-0.8445,-0.59909,-0.90493,-0.89989,-0.79968,-0.90435,-0.84148,-0.74206,-0.42248
93,4,Br,20,0.15268,-0.31388,-0.4017,-0.8288,-0.56161,-0.4775,-0.56858,-0.54259,-0.61987,-0.068158,0.072734,-0.79771,-0.82619,-0.65924,-0.29205,-0.56522,-0.76298,-0.63947,-0.938,-0.75811,0.15268,-0.91846,-0.94045,-0.94159,-0.98562,-0.98056,-0.89587,-0.93197,-0.92172,-0.8442,-0.6469,-0.85624,-0.83814,-0.8332,-0.78876,-0.80507,-0.66745,-0.82659,-0.80118,-0.86559,-0.40647,-0.86323,-0.7635,-0.95193,0.40076,-0.48711,-0.43791,-0.55159,-0.90072,0.35165,-0.57143,-0.8887,-0.2446,-0.20414,-0.60544,-0.66777,-0.25995,-0.70089,-0.10061,-0.43803
94,4,Br,21,-0.99148,-0.94688,-0.36977,-0.32323,-0.4353,-0.53705,-0.62292,-0.6294,0.35662,-0.41517,-0.50529,-0.45695,-0.76592,-0.65003,-0.051182,-0.12196,-0.37798,-0.24772,-0.70167,-0.2559,-0.99148,-0.87554,-0.67623,-0.15018,-0.74864,-0.066967,-0.72379,-0.31236,-0.22154,-0.39173,-0.25281,-0.41749,-0.52091,-0.21941,-0.25437,-0.42343,-0.33228,0.53642,-0.67806,-0.51955,-0.99755,-0.95137,-0.72246,-0.89039,-0.36476,-0.90433,-0.0057036,-0.51036,-0.61067,0.27257,-0.2277,-0.60652,-0.57191,-0.92403,-0.12185,0.11456,-0.6874,-0.073263,1,0.15522
95,4,Br,22,-0.74341,-0.21446,-0.74685,-0.5194,-0.73041,-0.63518,-0.45769,-0.44893,0.01583,0.084278,0.69101,-0.64099,-0.7262,-0.74475,-0.1072,-0.30132,-0.32676,-0.41076,-0.58802,-0.31672,-0.74341,-0.97776,-0.93715,-0.78033,-0.81506,-0.78453,-0.84741,-0.93115,-0.80133,-0.90342,-0.64317,-0.80698,-0.8146,-0.75554,-0.86027,-0.71852,-0.65393,-0.75576,-0.7232,-0.82206,-0.99131,-0.65544,-0.89447,-0.93925,-0.89824,0.23892,-0.9634,-0.93047,-0.90394,-0.94424,-0.79956,-0.88212,-0.87592,-0.848,-0.8996,-0.20413,-0.93358,-0.72421,-0.6449,-0.78506
96,4,Br,23,-0.9671,-0.97968,-0.91274,-0.94608,-0.79799,-0.79924,-0.89858,-0.86956,-0.71107,-0.69168,-0.85842,-0.93845,-0.86583,-0.91007,-0.88042,-0.84819,-0.94663,-0.86779,-0.9121,-0.90927,-0.9671,-0.86749,-0.88491,-0.87854,1,1,1,1,0.97168,1,0.74028,1,1,0.58483,-0.88464,1,0.076128,0.78041,-0.095877,-0.78957,-0.9959,-0.94762,-0.96258,-0.97803,-0.94631,-0.92412,-0.91395,-0.97145,-0.89635,-0.86746,-0.79071,-0.98805,-0.99664,-0.94725,-0.9709,-0.89181,-0.91874,-0.9052,-0.9032,-0.95723
97,4,Br,24,-0.98725,-0.99071,-0.90732,-0.95135,-0.8231,-0.9226,-0.7795,-0.82032,-0.8811,-0.63505,-0.80025,-0.88094,-0.86356,-0.94687,-0.85954,-0.87205,-0.91479,-0.88113,-0.96123,-0.89017,-0.98725,-0.98049,-0.99759,-0.87701,-0.88768,-0.89661,-0.78879,-0.90965,-0.76085,-0.51907,-0.74794,-0.71281,-0.73342,-0.85177,-0.21785,-0.83131,-0.46806,-0.40507,-0.19404,-0.89001,-0.99406,-0.91705,-0.9714,-0.99322,-0.887,-0.96554,-0.97511,-0.95204,-0.90779,-0.9172,-0.94304,-0.97481,-0.89757,-0.91853,-0.95281,-0.63502,-0.96831,-0.8489,-0.50698,-0.89289
98,4,Br,25,-0.90795,-0.91566,-0.887,-0.95523,-0.97153,-0.83097,-0.89185,-0.90574,-0.81236,-0.8601,-0.86348,-0.92852,-0.87112,-0.92816,-0.81582,-0.7741,-0.89182,-0.7768,-0.94059,-0.82558,-0.90795,-0.98635,-0.97405,-0.98904,-0.83383,-0.8263,-0.74568,-0.81796,-0.75402,-0.83887,-0.77368,-0.80191,-0.79649,-0.69276,-0.61924,-0.70751,-0.56834,-0.69485,-0.83164,-0.63352,-0.98606,-0.96657,-0.99955,-0.9952,-0.98234,-0.98901,-0.94821,-0.97233,-0.96482,-0.95006,-0.94229,-0.95529,-0.93601,-0.94353,-0.94716,-0.91304,-0.96024,-0.88135,-0.93988,-0.9487
99,4,Br,26,-0.99115,-0.76293,-0.73948,-0.52872,-0.80224,-0.79806,-0.74076,-0.62533,-0.77564,-0.59015,-0.78077,-0.94864,-0.77618,-0.83432,-0.66723,-0.72513,-0.6819,-0.58056,-0.72266,-0.44459,-0.99115,-0.9986,-0.9653,-0.97015,-0.94262,-0.95727,-0.95031,-0.9624,-0.95555,-0.97649,-0.95367,-0.90338,-0.93688,-0.94161,-0.90602,-0.90863,-0.77798,-0.89962,-0.95675,-0.83658,-0.99543,-0.94448,-0.59858,-0.95253,-0.69836,-0.72993,-0.77537,-0.90247,-0.83499,-0.7839,-0.92241,-0.93735,-0.79442,-0.95557,-0.87163,-0.63981,-0.91566,-0.74616,-0.97653,-0.68927
100,4,Br,27,-0.24647,-0.8157,-0.87987,-0.98946,-0.81041,-1,-0.95138,-0.88151,-0.81314,-0.56551,-0.77955,-0.8203,-0.8169,-0.89368,-0.80925,-0.65206,-0.84486,-0.73868,-0.88436,-0.82981,-0.24647,-0.97329,-0.98272,-0.97014,-0.97513,-0.96726,-0.98508,-0.98973,-0.99468,-0.98991,-0.9859,-0.95986,-0.99083,-0.98012,-0.98853,-0.80536,-0.94453,-0.17109,-0.96253,-0.64433,0.2287,-0.90591,-0.91035,-0.99011,-0.98605,-0.8262,-0.99379,-0.82561,-0.56999,-0.7104,-0.82763,-0.77711,-0.82784,-0.74058,-0.74528,-0.41012,-0.76797,-0.41073,-0.64295,-0.60852
