number,classNumber,className,numberInClass,1 V,2 V,3 V,4 V,5 V,6 V,7 V,8 V,9 V,10 V,11 V,12 V,13 V,14 V,15 V,16 V,17 V,18 V,19 V,20 V,21 V,22 V,23 V,24 V,25 V,26 V,27 V,28 V,29 V,30 V,31 V,32 V,33 V,34 V,35 V,36 V,37 V,38 V,39 V,40 V,41 V,42 V,43 V,44 V,45 V,46 V,47 V,48 V,49 V,50 V,51 V,52 V,53 V,54 V,55 V,56 V,57 V,58 V,59 V,60 V
62,3,x5,15,463.7938487,3122.949951,1434.851789,1376.439122,4186.673314,4622.045773,4957.137292,1112.967051,3578.967392,3905.75022,8974.791126,7412.394482,11971.9296,16696.00303,10429.90449,10337.90596,9241.050764,9472.336726,14010.63593,8717.219416,463.7938487,1591.949345,4059.441301,23040.71748,1591.20517,3273.491579,5800.358685,72603.90064,29856.29074,29622.59266,12692.23897,16092.96954,22477.40663,110624.9973,24238.20014,26328.99394,17297.26613,95093.46103,84725.68263,68922.10655,247.4685659,1467.170922,173.1964968,400.4129067,2651.461131,1318.882549,1674.743504,9387.470289,2131.357024,3255.757309,11080.05816,2196.649677,4648.180979,6553.089505,8761.576467,14951.03346,7325.345482,4865.114175,11374.13496,15481.7826
63,3,x5,16,1438.964034,6984.482705,708.0560754,4971.79826,2512.88318,2554.834122,11582.91883,4067.357221,4265.683375,6059.148475,6392.174481,8178.167221,16222.63825,7049.620358,8090.957158,11424.49613,7819.486565,8828.247256,10482.0593,11808.4503,1438.964034,7587.776764,161885.0056,73110.9884,96240.95063,2051.066717,29177.72133,35644.83244,167310.6676,8927.291692,57880.77208,174434.9604,28616.34766,18688.38062,17721.88378,37768.68785,68267.75633,131367.8872,44450.15413,47557.05204,834.7957605,4963.499763,4053.45209,317.697064,3304.183851,6931.627268,3756.813323,4075.871774,7493.735627,6415.025053,4827.132775,6493.250152,5791.490638,15822.40676,2464.498885,14224.18928,13046.89404,3531.084388,11420.61609,4896.686454
64,3,x5,17,321.9564124,3267.957388,2138.064715,1410.811756,812.9530589,2048.731425,1616.225625,999.6462637,3444.718449,2361.920922,7944.555895,1985.941381,10694.18105,9484.204968,11629.37455,13797.22763,11729.7316,6619.986278,21780.39984,15287.11861,321.9564124,1166.487717,531.0903897,1925.126129,2873.233483,38791.8048,3568.101634,34206.78187,5635.336046,11096.84598,30273.55467,56718.12213,26360.62398,51429.00526,41353.01672,27847.60405,83622.38977,23298.77438,27092.78537,62593.6422,7.601257197,905.2622783,268.735354,90.22001394,678.2730499,3699.012898,450.7760761,723.5194953,964.2116087,1137.177306,1601.704069,16766.1732,3937.776883,2627.532814,6442.805087,3187.64258,15708.35423,3119.904859,8172.353729,4392.408975
65,3,x5,18,606.1192987,3751.683806,1511.977687,1622.753136,3022.130576,9562.479036,2955.483774,8952.53441,5068.356132,15027.74473,25611.40277,17322.15697,10872.81619,16232.67658,26897.27697,10192.92951,14916.63453,14992.86788,13798.92353,24650.90893,606.1192987,4372.653381,4673.270236,4237.539226,4386.37762,23946.94823,23252.54178,10755.39817,35389.64244,44659.26918,40259.1255,51916.22792,14400.29605,17165.31315,50762.87901,32270.07045,20702.55406,26131.5711,80488.41305,29982.13717,48.80859419,6438.238683,1079.010455,257.8963175,5609.166116,936.24331,9499.8941,2920.610917,2950.84463,1549.359186,6559.06012,35318.90172,8090.045356,11765.51182,7702.619897,6023.62413,39783.20707,19879.67013,6163.472936,22858.13454
66,3,x5,19,42.02380455,36.05471183,2236.7154,2893.040724,3318.39672,7470.221716,10477.70785,9164.714903,2212.94164,2887.153825,8459.465458,5370.114784,2422.848142,6864.138739,12906.74453,17899.65508,16957.34417,20527.43075,9002.98154,9351.859845,42.02380455,1028.888994,12410.84511,15012.68859,41986.07339,23645.58118,44214.36099,45267.20274,29248.23195,3486.191004,19469.24103,16142.01907,19025.48551,24657.71875,25142.30104,66999.9305,75763.1868,62769.16557,53560.39395,71102.13304,11.56189169,21.70967521,506.4580528,6905.913569,1393.6287,1679.80933,3305.097612,1396.743722,10487.32852,6416.496808,2376.22495,1310.538143,3697.395595,17877.80325,3430.927914,6792.74575,7807.711846,5224.936849,16026.113,5797.369376
67,3,x5,20,1124.070818,6241.193336,2726.866818,5538.77552,6832.235723,9365.987392,11008.74782,6902.223189,7604.802867,5179.719188,12694.27154,19164.5462,7744.975544,9879.570701,9559.914233,13462.64677,10739.79666,14384.06246,17979.67266,19223.03999,1124.070818,6241.193336,10214.75475,9113.208163,10339.38803,14018.31692,3423.853548,42022.91449,33297.66969,16660.89229,30049.53903,49351.04168,13663.34467,19193.53235,14635.21354,49890.86217,11581.54511,73715.85288,79897.36231,55528.10102,71.06121134,430.0024075,217.9466087,1051.125293,5324.84729,4462.934104,1096.924317,591.2421274,4657.654672,1070.095584,4650.824557,4303.725023,1829.78699,5040.031968,13593.19651,2690.511005,7305.43264,2126.434195,3837.536169,5235.013175
68,3,x5,21,638.9719044,3537.460796,5624.970317,3385.583679,13443.2384,5624.461043,5862.965593,18095.41881,17878.23144,9878.958963,20992.44223,23063.51236,19597.69418,20058.26172,8322.564192,11143.67213,17880.43302,21789.29337,19038.19406,9323.504304,638.9719044,3859.291172,5603.831957,9752.174083,13862.50085,9178.909033,20125.57423,10358.89859,18548.42898,52839.43347,10427.05962,27628.79697,26547.80363,52589.1512,32855.9674,29215.7742,21541.79345,26254.33137,46767.26222,32457.20178,28.16775519,905.9992634,1334.173252,3019.525699,4748.383081,5513.451215,13842.1703,32733.47342,1148.725282,5372.549628,27111.40686,27562.65566,15254.28545,14790.11708,11995.54592,19380.4828,4759.559171,5244.172703,8861.648462,11335.99066
69,3,x5,22,2063.032726,12666.5084,15130.9693,3941.780637,3262.130067,5336.520124,5917.310347,10953.87883,10303.16171,13841.88351,21532.48075,12889.60492,6674.846902,14741.18626,15767.66272,33948.07462,10522.65747,17945.09816,11949.82138,15439.94298,2063.032726,12663.139,17109.98235,11863.04374,9018.449643,8803.515612,7544.185745,11187.20648,17235.35387,5529.787164,15044.75334,25182.92054,67575.33741,12098.89822,14067.02129,20347.06192,13422.57448,38673.98319,13069.62865,25638.18373,1912.838786,11690.92152,1538.92599,1267.846611,1096.852067,1843.969355,2585.239042,11016.22216,2956.407334,1736.281209,2160.244375,3217.273794,4463.046257,10198.54746,10412.42535,10507.00943,10725.41219,3866.948789,13272.43293,6607.191906
70,3,x5,23,25.23983936,207.1544281,169.7669105,5924.51282,2779.810214,1750.786445,8992.320239,1919.856998,142.9378417,295.8707851,2316.059201,7090.173146,850.8839629,6270.31246,2695.477903,3072.604508,2771.02776,2102.820848,2409.964407,2036.240989,25.23983936,24.29740999,24.36476495,191.6752825,59714.08366,1186.079423,849.6153378,133479.7559,2891.30864,490.0135379,511.5219531,432.5313056,11551.56641,5064.638141,42808.14561,14381.29826,179381.574,1285.232906,2884.816244,14873.85756,1.029209089,18.22601686,11.1836256,1224.511018,5543.030717,230.5252876,2656.352338,765.0118013,1607.567635,1712.15636,392.0429409,1379.38988,1409.38301,4398.151707,607.4518094,3243.642053,29374.83843,991.5922175,2151.676153,461.1247566
71,3,x5,24,5.079011941,15.27970167,176.0507068,470.4759721,1375.366679,532.0131477,1167.480081,653.505434,871.4999888,683.9147123,3424.846467,8828.029474,2084.583509,1331.891346,3829.266839,1677.589994,2826.865836,2895.504788,9380.33346,3192.822299,5.079011941,4.783842922,4.823120561,568.4834913,126.3090472,178.2083573,354.1546822,338.7242982,1495.848927,2019.293236,7658.630207,2223.383402,23449.57408,1704.881484,2128.225785,3312.903363,3066.061261,3848.473406,39902.38324,13885.90349,0.1572598106,1.73848365,42.80194678,35.66076105,571.4948359,120.5850395,136.9271216,192.6711689,1271.714874,177.580858,210.7925105,3755.493262,1748.147167,541.8003547,295.5802144,439.9485782,538.154234,671.3423803,425.1486935,863.1956619
